"","tp","fp","tn","fn","method","n","k"
"1",12,31,1542,15,"ALDEx2 (gamma = 0)",5,1
"2",20,1369,181,4,"DESeq2",5,1
"3",20,674,899,7,"limma",5,1
"4",22,212,1361,5,"baySeq",5,1
"5",25,1281,292,2,"edgeR",5,1
"6",9,21,1552,18,"ALDEx2 (gamma = 0.5)",5,1
"7",0,0,1573,27,"ALDEx2 (gamma = 5)",5,1
"8",18,51,1522,9,"ALDEx2 (gamma = 0)",7,1
"9",25,1482,91,2,"DESeq2",7,1
"10",20,858,715,7,"limma",7,1
"11",22,307,1266,5,"baySeq",7,1
"12",23,1357,216,4,"edgeR",7,1
"13",16,37,1536,11,"ALDEx2 (gamma = 0.5)",7,1
"14",1,0,1573,26,"ALDEx2 (gamma = 5)",7,1
"15",21,80,1493,6,"ALDEx2 (gamma = 0)",10,1
"16",25,1499,74,2,"DESeq2",10,1
"17",21,1048,525,6,"limma",10,1
"18",23,390,1183,4,"baySeq",10,1
"19",25,1404,169,2,"edgeR",10,1
"20",19,60,1513,8,"ALDEx2 (gamma = 0.5)",10,1
"21",1,0,1573,26,"ALDEx2 (gamma = 5)",10,1
"22",22,98,1475,5,"ALDEx2 (gamma = 0)",15,1
"23",25,1522,51,2,"DESeq2",15,1
"24",23,1259,314,4,"limma",15,1
"25",25,675,898,2,"baySeq",15,1
"26",26,1470,103,1,"edgeR",15,1
"27",22,82,1491,5,"ALDEx2 (gamma = 0.5)",15,1
"28",4,0,1573,23,"ALDEx2 (gamma = 5)",15,1
"29",21,97,1476,6,"ALDEx2 (gamma = 0)",20,1
"30",25,1523,50,2,"DESeq2",20,1
"31",24,1236,337,3,"limma",20,1
"32",27,749,824,0,"baySeq",20,1
"33",27,1463,110,0,"edgeR",20,1
"34",21,76,1497,6,"ALDEx2 (gamma = 0.5)",20,1
"35",4,0,1573,23,"ALDEx2 (gamma = 5)",20,1
"36",21,147,1426,6,"ALDEx2 (gamma = 0)",25,1
"37",25,1523,50,2,"DESeq2",25,1
"38",23,1163,410,4,"limma",25,1
"39",25,804,769,2,"baySeq",25,1
"40",25,1454,119,2,"edgeR",25,1
"41",21,81,1492,6,"ALDEx2 (gamma = 0.5)",25,1
"42",4,0,1573,23,"ALDEx2 (gamma = 5)",25,1
"43",22,231,1342,5,"ALDEx2 (gamma = 0)",30,1
"44",25,1531,42,2,"DESeq2",30,1
"45",25,1347,226,2,"limma",30,1
"46",27,1053,520,0,"baySeq",30,1
"47",27,1499,74,0,"edgeR",30,1
"48",21,98,1475,6,"ALDEx2 (gamma = 0.5)",30,1
"49",5,0,1573,22,"ALDEx2 (gamma = 5)",30,1
"50",23,334,1239,4,"ALDEx2 (gamma = 0)",40,1
"51",25,1534,39,2,"DESeq2",40,1
"52",25,1355,218,2,"limma",40,1
"53",27,1169,404,0,"baySeq",40,1
"54",27,1502,71,0,"edgeR",40,1
"55",22,101,1472,5,"ALDEx2 (gamma = 0.5)",40,1
"56",4,0,1573,23,"ALDEx2 (gamma = 5)",40,1
"57",24,447,1126,3,"ALDEx2 (gamma = 0)",50,1
"58",25,1534,39,2,"DESeq2",50,1
"59",25,1420,153,2,"limma",50,1
"60",27,1307,266,0,"baySeq",50,1
"61",27,1523,50,0,"edgeR",50,1
"62",22,131,1442,5,"ALDEx2 (gamma = 0.5)",50,1
"63",5,0,1573,22,"ALDEx2 (gamma = 5)",50,1
"64",7,20,1553,20,"ALDEx2 (gamma = 0)",5,2
"65",23,1357,196,2,"DESeq2",5,2
"66",18,635,938,9,"limma",5,2
"67",21,180,1393,6,"baySeq",5,2
"68",21,1223,350,6,"edgeR",5,2
"69",6,15,1558,21,"ALDEx2 (gamma = 0.5)",5,2
"70",1,0,1573,26,"ALDEx2 (gamma = 5)",5,2
"71",18,51,1522,9,"ALDEx2 (gamma = 0)",7,2
"72",25,1482,91,2,"DESeq2",7,2
"73",20,858,715,7,"limma",7,2
"74",22,307,1266,5,"baySeq",7,2
"75",23,1357,216,4,"edgeR",7,2
"76",16,38,1535,11,"ALDEx2 (gamma = 0.5)",7,2
"77",1,0,1573,26,"ALDEx2 (gamma = 5)",7,2
"78",21,82,1491,6,"ALDEx2 (gamma = 0)",10,2
"79",25,1511,62,2,"DESeq2",10,2
"80",23,1156,417,4,"limma",10,2
"81",25,422,1151,2,"baySeq",10,2
"82",24,1446,127,3,"edgeR",10,2
"83",21,66,1507,6,"ALDEx2 (gamma = 0.5)",10,2
"84",4,0,1573,23,"ALDEx2 (gamma = 5)",10,2
"85",21,91,1482,6,"ALDEx2 (gamma = 0)",15,2
"86",25,1528,45,2,"DESeq2",15,2
"87",24,1194,379,3,"limma",15,2
"88",27,661,912,0,"baySeq",15,2
"89",27,1459,114,0,"edgeR",15,2
"90",21,76,1497,6,"ALDEx2 (gamma = 0.5)",15,2
"91",4,0,1573,23,"ALDEx2 (gamma = 5)",15,2
"92",21,104,1469,6,"ALDEx2 (gamma = 0)",20,2
"93",25,1514,59,2,"DESeq2",20,2
"94",25,1207,366,2,"limma",20,2
"95",25,665,908,2,"baySeq",20,2
"96",26,1468,105,1,"edgeR",20,2
"97",21,79,1494,6,"ALDEx2 (gamma = 0.5)",20,2
"98",4,0,1573,23,"ALDEx2 (gamma = 5)",20,2
"99",22,152,1421,5,"ALDEx2 (gamma = 0)",25,2
"100",25,1519,54,2,"DESeq2",25,2
"101",22,1252,321,5,"limma",25,2
"102",27,884,689,0,"baySeq",25,2
"103",26,1473,100,1,"edgeR",25,2
"104",21,87,1486,6,"ALDEx2 (gamma = 0.5)",25,2
"105",4,0,1573,23,"ALDEx2 (gamma = 5)",25,2
"106",23,194,1379,4,"ALDEx2 (gamma = 0)",30,2
"107",25,1523,50,2,"DESeq2",30,2
"108",24,1284,289,3,"limma",30,2
"109",27,958,615,0,"baySeq",30,2
"110",27,1482,91,0,"edgeR",30,2
"111",21,91,1482,6,"ALDEx2 (gamma = 0.5)",30,2
"112",4,0,1573,23,"ALDEx2 (gamma = 5)",30,2
"113",23,321,1252,4,"ALDEx2 (gamma = 0)",40,2
"114",25,1529,44,2,"DESeq2",40,2
"115",25,1358,215,2,"limma",40,2
"116",27,1154,419,0,"baySeq",40,2
"117",27,1517,56,0,"edgeR",40,2
"118",22,105,1468,5,"ALDEx2 (gamma = 0.5)",40,2
"119",5,0,1573,22,"ALDEx2 (gamma = 5)",40,2
"120",23,407,1166,4,"ALDEx2 (gamma = 0)",50,2
"121",24,1538,35,3,"DESeq2",50,2
"122",25,1358,215,2,"limma",50,2
"123",27,1188,385,0,"baySeq",50,2
"124",27,1509,64,0,"edgeR",50,2
"125",21,113,1460,6,"ALDEx2 (gamma = 0.5)",50,2
"126",5,0,1573,22,"ALDEx2 (gamma = 5)",50,2
"127",9,23,1550,18,"ALDEx2 (gamma = 0)",5,3
"128",23,1346,207,4,"DESeq2",5,3
"129",18,477,1096,9,"limma",5,3
"130",20,177,1396,7,"baySeq",5,3
"131",21,1212,361,6,"edgeR",5,3
"132",6,19,1554,21,"ALDEx2 (gamma = 0.5)",5,3
"133",1,0,1573,26,"ALDEx2 (gamma = 5)",5,3
"134",18,51,1522,9,"ALDEx2 (gamma = 0)",7,3
"135",25,1482,91,2,"DESeq2",7,3
"136",20,858,715,7,"limma",7,3
"137",22,307,1266,5,"baySeq",7,3
"138",23,1357,216,4,"edgeR",7,3
"139",17,38,1535,10,"ALDEx2 (gamma = 0.5)",7,3
"140",1,0,1573,26,"ALDEx2 (gamma = 5)",7,3
"141",19,74,1499,8,"ALDEx2 (gamma = 0)",10,3
"142",23,1472,101,4,"DESeq2",10,3
"143",20,940,633,7,"limma",10,3
"144",24,421,1152,3,"baySeq",10,3
"145",24,1373,200,3,"edgeR",10,3
"146",18,53,1520,9,"ALDEx2 (gamma = 0.5)",10,3
"147",2,0,1573,25,"ALDEx2 (gamma = 5)",10,3
"148",21,89,1484,6,"ALDEx2 (gamma = 0)",15,3
"149",25,1501,72,2,"DESeq2",15,3
"150",24,1121,452,3,"limma",15,3
"151",24,548,1025,3,"baySeq",15,3
"152",26,1431,142,1,"edgeR",15,3
"153",21,68,1505,6,"ALDEx2 (gamma = 0.5)",15,3
"154",2,0,1573,25,"ALDEx2 (gamma = 5)",15,3
"155",21,104,1469,6,"ALDEx2 (gamma = 0)",20,3
"156",25,1514,59,2,"DESeq2",20,3
"157",23,1192,381,4,"limma",20,3
"158",26,718,855,1,"baySeq",20,3
"159",26,1433,140,1,"edgeR",20,3
"160",21,73,1500,6,"ALDEx2 (gamma = 0.5)",20,3
"161",4,0,1573,23,"ALDEx2 (gamma = 5)",20,3
"162",22,163,1410,5,"ALDEx2 (gamma = 0)",25,3
"163",25,1525,48,2,"DESeq2",25,3
"164",22,1244,329,5,"limma",25,3
"165",26,900,673,1,"baySeq",25,3
"166",26,1470,103,1,"edgeR",25,3
"167",21,87,1486,6,"ALDEx2 (gamma = 0.5)",25,3
"168",4,0,1573,23,"ALDEx2 (gamma = 5)",25,3
"169",22,212,1361,5,"ALDEx2 (gamma = 0)",30,3
"170",25,1528,45,2,"DESeq2",30,3
"171",25,1337,236,2,"limma",30,3
"172",25,1019,554,2,"baySeq",30,3
"173",27,1506,67,0,"edgeR",30,3
"174",21,93,1480,6,"ALDEx2 (gamma = 0.5)",30,3
"175",5,0,1573,22,"ALDEx2 (gamma = 5)",30,3
"176",23,323,1250,4,"ALDEx2 (gamma = 0)",40,3
"177",25,1535,38,2,"DESeq2",40,3
"178",25,1301,272,2,"limma",40,3
"179",27,1091,482,0,"baySeq",40,3
"180",26,1492,81,1,"edgeR",40,3
"181",21,102,1471,6,"ALDEx2 (gamma = 0.5)",40,3
"182",4,0,1573,23,"ALDEx2 (gamma = 5)",40,3
"183",23,420,1153,4,"ALDEx2 (gamma = 0)",50,3
"184",24,1539,34,3,"DESeq2",50,3
"185",26,1364,209,1,"limma",50,3
"186",27,1191,382,0,"baySeq",50,3
"187",27,1510,63,0,"edgeR",50,3
"188",21,124,1449,6,"ALDEx2 (gamma = 0.5)",50,3
"189",4,0,1573,23,"ALDEx2 (gamma = 5)",50,3
